NTD ID,Agency Name,Reporter Type,Reporting Module,Expense Type,Interest Expenses,Leases and Rentals,Purchase Lease Agreement,Related Parties Lease Agreement,Voluntary Non-Exchange Transactions,Extraordinary and Special Items,Depreciation,Amortization of Intangibles,Other Reconciling Items,Total Reconciling Items,ADA Related Reconciling Items
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Applied,95745,2775070,,2071557,,,,,1083883,6026255,31624
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,162900000,,,162900000,
2,Spokane Transit Authority,Full Reporter,Urban,Funds Applied,,277639,74830,,,,,,844999,1197468,158874
2,Spokane Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,9537619,1465274,,11002893,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,,425160,,168210,,,,,805645,1399015,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,19080300,,-4613774,14466526,
5,City of Everett,Full Reporter,Urban,Funds Applied,,28656,,,,,,,389069,417725,
5,City of Everett,Full Reporter,Urban,Funds Not Applied,,,,,,,3180440,,236472,3416912,
6,City of Yakima,Full Reporter,Urban,Funds Applied,,112324,,,,,,,,112324,
6,City of Yakima,Full Reporter,Urban,Funds Not Applied,,,,,,,1095604,,,1095604,
7,Lane Transit District,Full Reporter,Urban,Funds Applied,23012,5284264,,,,,,,,5307276,
7,Lane Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,15491859,,,15491859,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Applied,25384590,5575798,3832315,0,,,0,0,25017895,59810598,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Not Applied,0,0,0,0,,,132942693,0,18517967,151460660,0
11,Valley Regional Transit,Full Reporter,Urban,Funds Applied,,99036,,5,,,,,,99041,20006
11,Valley Regional Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,2699884,,,2699884,226383
12,Municipality of Anchorage,Full Reporter,Urban,Funds Applied,196151,606974,,,,,,,362707,1165832,
12,Municipality of Anchorage,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
16,RiverCities Transit,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
16,RiverCities Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
18,Ben Franklin Transit,Full Reporter,Urban,Funds Applied,,76826,,,,,,,73510,150336,
18,Ben Franklin Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,4665334,,,4665334,
19,Intercity Transit,Full Reporter,Urban,Funds Applied,,191434,,,,,,,,191434,
19,Intercity Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,4206702,,-1148542,3058160,
20,Kitsap Transit,Full Reporter,Urban,Funds Applied,1182443,33240,,,,,,,361657,1577340,
20,Kitsap Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,8922212,78481,,9000693,
21,Whatcom Transportation Authority,Full Reporter,Urban,Funds Applied,,50641,,,,,,,,50641,
21,Whatcom Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,4680890,,,4680890,
23,City of Seattle,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
23,City of Seattle,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,,131546,,,,,,,198347,329893,27387
