State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Facility Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,1854742,0,0,1854742,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,General Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,7723463,0,0,7723463,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,52973384,0,0,52973384,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,13633310,0,0,13633310,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,29761869,0,0,29761869,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Facility Maintenance,0,0,625,0,418,0,0,0,0,0,0,0,936977,0,0,0,938020,938020,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,General Administration,0,0,1883088,421189,898464,3674845,0,0,387246,148302,0,0,16840436,0,19581,0,24273151,24273151,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Total,0,0,1883713,421189,898882,3683115,2456522,0,387246,148302,0,0,65242850,0,19581,0,75141400,75141400,75141400
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,9467371,0,0,0,9467371,9467371,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Operations,0,0,0,0,0,8270,2456522,0,0,0,0,0,37998066,0,0,0,40462858,40462858,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Facility Maintenance,0,0,27,0,18,0,0,0,0,0,0,0,39774,0,0,0,39819,39819,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,General Administration,0,0,79936,17879,38139,155995,0,0,16438,6295,0,0,714865,0,830,0,1030377,1030377,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Total,0,0,79963,17879,38157,156346,104278,0,16438,6295,0,0,2769515,0,830,0,3189701,3189701,3189701
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,401884,0,0,0,401884,401884,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Vehicle Operations,0,0,0,0,0,351,104278,0,0,0,0,0,1612992,0,0,0,1717621,1717621,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Facility Maintenance,0,0,10301,0,4850,66656,0,0,43355,0,0,0,0,0,153,0,125315,125315,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,General Administration,0,0,534061,130034,219458,1200561,0,0,43407,47593,586624,0,0,0,20151,0,2781889,2781889,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Total,1088925,193391,1185059,229784,1130290,1806012,559995,0,337946,47593,586624,6183,0,0,27834,0,7199636,7199636,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Maintenance,0,0,416364,64018,186313,340628,21771,0,226795,0,0,0,0,0,4501,0,1260390,1260390,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Operations,1088925,193391,224333,35732,719669,198167,538224,0,24389,0,0,6183,0,0,3029,0,3032042,3032042,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Facility Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,24741049,0,0,24741049,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,General Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,7712428,0,0,7712428,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,59640285,0,0,59640285,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,8660552,0,0,8660552,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Vehicle Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,18526256,0,0,18526256,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Facility Maintenance,0,0,12556398,3659227,6974512,4244193,0,0,2452034,0,0,502670,0,0,730377,0,31119411,31119411,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,General Administration,0,0,19958269,4662892,8602071,63781553,0,0,929599,3590425,12686311,0,0,0,1815218,0,116026338,116026338,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Total,150978992,22365511,102754892,22102523,142774154,92571265,22493357,3093040,32525633,3655787,12686311,502670,0,0,2771453,0,611275588,611275588,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Vehicle Maintenance,0,0,43602316,8815964,24835678,843147,954808,378817,28138091,0,0,0,0,0,175228,0,107744049,107744049,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Vehicle Operations,150978992,22365511,26637909,4964440,102361893,23702372,21538549,2714223,1005909,65362,0,0,0,0,50630,0,356385790,356385790,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Facility Maintenance,0,0,88406,14295,49135,16736,0,0,7999,0,0,3371,443113,0,390,0,623445,623445,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,General Administration,0,0,238257,58035,109379,301211,0,0,10675,11774,0,0,1575122,0,5197,0,2309650,2309650,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Total,0,0,375898,85973,182403,424726,0,0,27893,11774,0,3371,8637452,0,5724,0,9755214,9755214,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,1155190,0,0,0,1155190,1155190,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Vehicle Operations,0,0,49235,13643,23889,106779,0,0,9219,0,0,0,5464027,0,137,0,5666929,5666929,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Facility Maintenance,0,0,661431,164490,398137,2420,0,0,9781,0,0,0,0,0,595,0,1236854,1236854,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,General Administration,0,0,919530,178239,395328,836781,0,0,35698,34698,79590,0,0,0,24052,0,2503916,2503916,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Total,2377929,312986,3341295,575786,2981185,938427,15042,0,641525,231793,79590,0,0,0,26918,0,11522476,11522476,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Vehicle Maintenance,0,0,866790,94264,406414,55419,15042,0,590215,0,0,0,0,0,848,0,2028992,2028992,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Vehicle Operations,2377929,312986,893544,138793,1781306,43807,0,0,5831,197095,0,0,0,0,1423,0,5752714,5752714,0
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Facility Maintenance,0,0,4407392,1160614,2224143,524074,0,0,532186,0,0,63752,0,0,96057,0,9008218,9008218,0
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,General Administration,0,0,2314994,534252,1008998,7503654,0,0,109288,413972,846028,0,0,0,214434,0,12945620,12945620,0
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Total,17898253,2651386,12740353,2865414,16999422,10267565,85168,187601,2195191,2257409,846028,63752,0,0,327766,0,69385308,69385308,0
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Vehicle Maintenance,0,0,2894699,585310,1648790,55666,3615,22976,1462183,0,0,0,0,0,11680,0,6684919,6684919,0
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Vehicle Operations,17898253,2651386,3123268,585238,12117491,2184171,81553,164625,91534,1843437,0,0,0,0,5595,0,40746551,40746551,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Facility Maintenance,0,0,43265,10760,24427,1104,0,0,10016,0,0,17,0,0,0,0,89589,89589,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,General Administration,0,0,2345359,419712,1133646,840893,0,0,16038,64823,737292,0,0,0,22423,0,5580186,5580186,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Total,0,0,2388624,430472,1158073,2795915,2416656,0,81441,64823,737292,17,0,0,26414,0,10099727,10099727,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Vehicle Maintenance,0,0,0,0,0,1953918,0,0,0,0,0,0,0,0,0,0,1953918,1953918,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Vehicle Operations,0,0,0,0,0,0,2416656,0,55387,0,0,0,0,0,3991,0,2476034,2476034,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Facility Maintenance,0,0,0,0,0,193990,0,0,40451,0,0,0,0,0,0,0,234441,234441,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,General Administration,0,0,693095,103390,215469,800330,0,0,204378,160369,268282,2140,0,0,133953,0,2581406,2581406,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Total,2295599,385382,2554321,409903,2343185,1194168,323503,25057,482017,160369,268282,4400,0,0,134777,0,10580963,10580963,10580963
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Vehicle Maintenance,0,0,682333,103661,344590,9578,3476,0,223487,0,0,0,0,0,0,0,1367125,1367125,0
