UACE Code,UZA,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled,Total Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,SGR FG Directional Route Miles,SGR FG Vehicle Revenue Miles,SGR HIB Directional Route Miles,SGR HIB Vehicle Revenue Miles
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,702176,887915,8511613,8887848,75141400,8511613,8887848,75141400,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT, Actual Data,,,,67214,177791,2052404,2398907,3189701,2052404,2398907,3189701,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Data,,,,6017,701608,52362,3464136,7199636,0,0,0,24,52362,3464136,7199636,24,52362,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,3180859,103527532,35407340,473228334,611275588,33931729,453506408,585800503,14.2,1475611,19721926,25475085,4,603440,170.9,4040407
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,81746,834720,1058834,3219577,9755214,1058834,3219577,9755214,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Data,,,,42762,1863409,205470,2027877,11522476,0,0,0,7.9,205470,2027877,11522476,2.7,70223,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Data,,,,421313,17373451,2607942,32207119,69385308,0,0,0,113.9,2607942,32207119,69385308,113.9,2607942,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,528947,3300186,14648137,61644511,10099727,14648137,61644511,10099727,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,83811,231791,1249422,1955913,10580963,1249422,1955913,10580963,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,76072,209306,1144223,2017042,3980709,1144223,2017042,3980709,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Other, Annual totals are allocated to 92.3% to the 96 UZA and 7.7% to the 0 UZA. This is based on the 2010 census and the allocation method was submitted to FTA.,,,34211,767828,471127,3103546,4249174,471127,3103546,4249174,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Other, Annual totals are allocated to 92.3% to the 96 UZA and 7.7% to the 0 UZA. This is based on the 2010 census and the allocation method was submitted to FTA.,,,410088,9203970,5647399,37202237,50934901,5647399,37202237,50934901,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Other,The annual totals are allocated by 81% in UZA 96 and 19% in UZA 0-WA. This is based on the 2010 census and the allocation method was submitted to FTA.,,,5338,29500,176671,781984,122265,176671,781984,122265,0,0,0,0,0,0,0,0
