NTD ID,Agency Name,Reporter Type,Reporting Module,CA: Cash and Cash Equivalents,CA: Accounts Receivable,CA: Inventory,CA: Prepaid Expenses,CA: Current Investments and Current Portions of Long-Term Investments,CA: Other Current Assets,Total Current Assets,NCA: Capital Assets,NCA: Intangible Assets,NCA: Capital Leases Receivables,NCA: Special Funds,NCA: Work in Progress,NCA: Investments,NCA: Other Noncurrent Assets,Total Noncurrent Assets,Total Assets,Deferred Outflows of Resources,CL: Current Accounts Payable,CL: Short-Term Debt and Current Portions of Long-Term Debt,CL: Accrued Liabilities,CL: Other Current Liabilities,Total Current Liabilities,NCL: Long-Term Debt,NCL: Noncurrent Accounts Payable,NCL: Capital Lease Obligations,NCL: Long-Term Pension Liabilities,NCL: Estimated Liabilities,NCL: Other Noncurrent Liabilities,Total Noncurrent Liabilities,Total Liabilities,Deferred Inflows of Resources,Net Position
2,Spokane Transit Authority,Full Reporter,Urban,99267885,23711631,1666503,490594,0,0,125136613,84807614,3551521,0,0,18746931,0,0,107106066,232242679,4333363,5280342,0,7534695,1466242,14281279,0,0,0,14096584,0,0,14096584,28377863,7646752,200551427
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,3157421,534935,4107941,533315,41008254,39709212,89051078,92129946,0,0,64631580,30609175,0,0,187370701,276421779,8141111,5119350,0,0,9847058,14966408,0,0,0,25740928,9010616,0,34751544,49717952,14982128,219862810
7,Lane Transit District,Full Reporter,Urban,14897748,22337080,1468097,213365,0,0,38916290,162932962,0,0,0,0,0,0,162932962,201849252,6301745,3322473,0,3870411,702613,7895497,0,0,0,23522029,0,11660678,35182707,43078204,1181933,163890860
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,116895742,84961270,45541320,10185144,0,96815313,354398789,2790166627,0,0,368969211,224083556,0,31014311,3414233705,3768632494,54296235,54421745,47206108,36829573,48206951,186664377,730800157,4010394,63151047,873872863,21583880,0,1693418341,1880082718,111088481,1831757530
11,Valley Regional Transit,Full Reporter,Urban,751430,918702,435882,67157,0,0,2173171,30039500,0,0,0,999142,0,0,31038642,33211813,152237,821220,0,719919,421316,1962455,0,0,0,518297,0,0,518297,2480752,243696,30639602
18,Ben Franklin Transit,Full Reporter,Urban,41493328,16395950,505109,277328,0,0,58671715,33756685,0,0,0,2622940,0,0,36379625,95051340,2224498,1587197,0,1620971,0,3208168,0,0,0,6460375,0,4419180,10879555,14087723,3632510,79555605
19,Intercity Transit,Full Reporter,Urban,79779111,15335288,1109754,258617,0,0,96482770,43619736,0,0,0,14820406,0,0,58440142,154922912,3899217,1881471,0,1305153,368818,3555442,0,0,0,17014815,0,2180097,19194912,22750354,5069138,131002637
20,Kitsap Transit,Full Reporter,Urban,10676935,17420149,1944259,447220,32379391,0,62867954,125424354,358013,0,12320593,28823663,0,141863,167068486,229936440,2622771,5543798,5123548,1658092,0,12325438,39451031,0,0,7279103,0,1859598,48589732,60915170,4482759,167161282
21,Whatcom Transportation Authority,Full Reporter,Urban,30305608,5718930,1202054,280230,0,0,37506822,39888112,0,0,0,1379575,0,0,41267687,78774509,2095589,742292,0,3048723,8333,3799348,0,0,0,6272368,0,124550,6396918,10196266,3520430,67153402
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,4782536,12255838,2141766,570653,5224644,0,24975437,126433794,4384935,0,71252250,4604405,0,134308,206809692,231785129,3681074,1636864,0,5134821,828885,7600570,0,0,0,10425213,500000,587096,11512309,19112879,5955146,210398178
