NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Operator (Vehicle Operations) Hours Worked,Full Time Non-Operator (Vehicle Operations) Hours Worked,Total Full Time (Vehicle Operations) Hours Worked,Full Time Operator (Vehicle Maintenance) Hours Worked,Full Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Full Time (Vehicle Maintenance) Hours Worked,Full Time Operator (Facility Maintenance) Hours Worked,Full Time Non-Operator (Facility Maintenance) Hours Worked,Total Full Time (Facility Maintenance) Hours Worked,Full Time Operator (General Administration) Hours Worked,Full Time Non-Operator (General Administration) Hours Worked,Total Full Time (General Administration) Hours Worked,Total Full Time Operator (Operating Labor) Hours Worked,Total Full Time Non-Operator (Operating Labor) Hours Worked,Total Full Time (Operating Labor) Hours Worked,Full Time Operator (Capital Labor) Hours Worked,Full Time Non-Operator (Capital Labor) Hours Worked,Total Full Time (Capital Labor) Hours Worked,Total Full Time Operator Hours Worked,Total Full Time Non-Operator Hours Worked,Total Full Time Hours Worked,Full Time Operator (Vehicle Operations) Employee Count,Full Time Non-Operator (Vehicle Operations) Employee Count,Total Full Time (Vehicle Operations) Employee Count,Full Time Operator (Vehicle Maintenance) Employee Count,Full Time Non-Operator (Vehicle Maintenance) Employee Count,Total Full Time (Vehicle Maintenance) Employee Count,Full Time Operator (Facility Maintenance) Employee Count,Full Time Non-Operator (Facility Maintenance) Employee Count,Total Full Time (Facility Maintenance) Employee Count,Full Time Operator (General Administration) Employee Count,Full Time Non-Operator (General Administration) Employee Count,Total Full Time (General Administration) Employee Count,Total Full Time Operator (Operations) Employee Count,Total Full Time Non-Operator (Operations) Employee Count,Total Full Time (Operations) Employee Count,Full Time Operator (Capital Labor) Employee Count,Full Time Non-Operator (Capital Labor) Employee Count,Total Full Time (Capital Labor) Employee Count,Total Full Time Operator Employee Count,Total Full Time Non-Operator Employee Count,Total Full Time Employee Count,Part Time Operator (Vehicle Operations) Hours Worked,Part Time Non-Operator (Vehicle Operations) Hours Worked,Total Part Time (Vehicle Operations) Hours Worked,Part Time Operator (Vehicle Maintenance) Hours Worked,Part Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Part Time (Vehicle Maintenance) Hours Worked,Part Time Operator (Facility Maintenance) Hours Worked,Part Time Non-Operator (Facility Maintenance) Hours Worked,Total Part Time (Facility Maintenance) Hours Worked,Part Time Operator (General Administration) Hours Worked,Part Time Non-Operator (General Administration) Hours Worked,Total Part Time (General Administration) Hours Worked,Total Part Time Operator (Operating Labor) Hours Worked,Total Part Time Non-Operator (Operating Labor) Hours Worked,Total Part Time (Operating Labor) Hours Worked,Part Time Operator (Capital Labor) Hours Worked,Part Time Non-Operator (Capital Labor) Hours Worked,Total Part Time (Capital Labor) Hours Worked,Total Part Time Operator Hours Worked,Total Part Time Non-Operator Hours Worked,Total Part Time Hours Worked,Part Time Operator (Vehicle Operations) Employee Count,Part Time Non-Operator (Vehicle Operations) Employee Count,Total Part Time (Vehicle Operations) Employee Count,Part Time Operator (Vehicle Maintenance) Employee Count,Part Time Non-Operator (Vehicle Maintenance) Employee Count,Total Part Time (Vehicle Maintenance) Employee Count,Part Time Operator (Facility Maintenance) Employee Count,Part Time Non-Operator (Facility Maintenance) Employee Count,Total Part Time (Facility Maintenance) Employee Count,Part Time Operator (General Administration) Employee Count,Part Time Non-Operator (General Administration) Employee Count,Total Part Time (General Administration) Employee Count,Total Part Time Operator (Operations) Employee Count,Total Part Time Non-Operator (Operations) Employee Count,Total Part Time (Operations) Employee Count,Part Time Operator (Capital Labor) Employee Count,Part Time Non-Operator (Capital Labor) Employee Count,Total Part Time (Capital Labor) Employee Count,Total Part Time Operator Employee Count,Total Part Time Non-Operator Employee Count,Total Part Time Employee Count
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,22285,5077,27362,0,8677,8677,0,210,210,0,8669,8669,22285,22633,44918,0,2404,2404,22285,25037,47322,11.6,2.85,14.45,0,4.75,4.75,0,0.11,0.11,0,5.9,5.9,11.6,13.61,25.21,0,1.36,1.36,11.6,14.97,26.57,2079,1488,3567,0,111,111,0,0,0,0,415,415,2079,2014,4093,0,0,0,2079,2014,4093,16,1.5,17.5,0,1,1,0,0,0,0,2.06,2.06,16,4.56,20.56,0,0,0,16,4.56,20.56
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,3695498,487757,4183255,0,1078878,1078878,0,378275,378275,0,334420,334420,3695498,2279330,5974828,0,224427,224427,3695498,2503757,6199255,1970,266.2,2236.2,0,618.9,618.9,0,220,220,0,212.3,212.3,1970,1317.4,3287.4,0,143,143,1970,1460.4,3430.4,590419,1031,591450,0,825,825,0,0,0,0,8267,8267,590419,10123,600542,0,1038,1038,590419,11161,601580,596,2.5,598.5,0,0.8,0.8,0,0,0,0,9.7,9.7,596,13,609,0,1.7,1.7,596,14.7,610.7
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,66809,19979,86788,0,16790,16790,0,8489,8489,0,15542,15542,66809,60800,127609,0,43,43,66809,60843,127652,32,9.3,41.3,0,9,9,0,6.2,6.2,0,9.9,9.9,32,34.4,66.4,0,0.03,0.03,32,34.43,66.43,0,0,0,0,0,0,0,0,0,0,1177,1177,0,1177,1177,0,0,0,0,1177,1177,0,0,0,0,0,0,0,0,0,0,1.8,1.8,0,1.8,1.8,0,0,0,0,1.8,1.8
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,438094,57727,495821,0,71548,71548,0,116960,116960,0,39073,39073,438094,285308,723402,0,27049,27049,438094,312357,750451,233.5,31.5,265,0,41,41,0,61.7,61.7,0,24.7,24.7,233.5,158.9,392.4,0,17.2,17.2,233.5,176.1,409.6,69993,122,70115,0,55,55,0,0,0,0,979,979,69993,1156,71149,0,123,123,69993,1279,71272,70.7,0.3,71,0,0.1,0.1,0,0,0,0,1.1,1.1,70.7,1.5,72.2,0,0.2,0.2,70.7,1.7,72.4
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,1204,1204,0,81212,81212,0,82416,82416,0,1257,1257,0,83673,83673,0,0,0,0,0,0,0,0.8,0.8,0,47.7,47.7,0,48.5,48.5,0,0.8,0.8,0,49.3,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,101417,44210,145627,0,25912,25912,0,0,0,0,18949,18949,101417,89071,190488,0,1221,1221,101417,90292,191709,67,29,96,0,13,13,0,0,0,0,11.17,11.17,67,53.17,120.17,0,0.66,0.66,67,53.83,120.83,2928,0,2928,0,0,0,0,0,0,0,282,282,2928,282,3210,0,0,0,2928,282,3210,2,0,2,0,0,0,0,0,0,0,0.21,0.21,2,0.21,2.21,0,0,0,2,0.21,2.21
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,516821,80195,597016,0,118840,118840,0,47987,47987,0,121760,121760,516821,368782,885603,0,4607,4607,516821,373389,890210,288,49,337,0,81,81,0,27,27,0,69.16,69.16,288,226.16,514.16,0,2.49,2.49,288,228.65,516.65,20668,0,20668,0,0,0,0,0,0,0,1065,1065,20668,1065,21733,0,0,0,20668,1065,21733,25,0,25,0,0,0,0,0,0,0,0.78,0.78,25,0.78,25.78,0,0,0,25,0.78,25.78
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,0,0,0,4630,4630,0,4630,4630,0,53,53,0,4683,4683,0,0,0,0,0,0,0,0,0,0,2.49,2.49,0,2.49,2.49,0,0.03,0.03,0,2.52,2.52,0,0,0,0,0,0,0,0,0,0,12,12,0,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0.01,0.01
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,51621,8895,60516,0,1727,1727,0,1044,1044,0,14769,14769,51621,26435,78056,0,0,0,51621,26435,78056,28,4.55,32.55,0,1,1,0,0.65,0.65,0,7.21,7.21,28,13.41,41.41,0,0,0,28,13.41,41.41,0,0,0,0,0,0,0,0,0,0,1705,1705,0,1705,1705,0,0,0,0,1705,1705,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,559645,110788,670433,0,84404,84404,0,33848,33848,0,132766,132766,559645,361806,921451,0,0,0,559645,361806,921451,259.3,58.92,318.22,0,45.19,45.19,0,19.49,19.49,0,74.85,74.85,259.3,198.45,457.75,0,0,0,259.3,198.45,457.75,100016,1036,101052,0,0,0,0,0,0,0,2738,2738,100016,3774,103790,0,0,0,100016,3774,103790,44.29,0.58,44.87,0,0,0,0,0,0,0,2.58,2.58,44.29,3.16,47.45,0,0,0,44.29,3.16,47.45
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,0,10923,10923,0,12364,12364,0,2503,2503,0,8655,8655,0,34445,34445,0,0,0,0,34445,34445,0,5.1,5.1,0,6.74,6.74,0,1.41,1.41,0,4.94,4.94,0,18.19,18.19,0,0,0,0,18.19,18.19,0,0,0,0,0,0,0,0,0,0,46,46,0,46,46,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0,0,0,0,0.04,0.04
5,City of Everett,Full Reporter,Urban,DR,DO,57640,18947,76587,0,8020,8020,0,4794,4794,365,11021,11386,58005,42782,100787,0,0,0,58005,42782,100787,31,10.4,41.4,0,4.4,4.4,0,3,3,0,6.4,6.4,31,24.2,55.2,0,0,0,31,24.2,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,City of Everett,Full Reporter,Urban,MB,DO,119536,20388,139924,0,16542,16542,0,9919,9919,1867,24057,25924,121403,70906,192309,0,0,0,121403,70906,192309,64,10.6,74.6,0,9,9,0,6,6,0,12.6,12.6,64,38.2,102.2,0,0,0,64,38.2,102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,City of Yakima,Full Reporter,Urban,MB,DO,52831,13148,65979,0,4286,4286,0,0,0,0,11846,11846,52831,29280,82111,0,0,0,52831,29280,82111,26,6,32,0,2,2,0,0,0,0,6,6,26,14,40,0,0,0,26,14,40,20804,0,20804,0,4303,4303,0,0,0,0,0,0,20804,4303,25107,0,0,0,20804,4303,25107,22,0,22,0,3,3,0,0,0,0,0,0,22,3,25,0,0,0,22,3,25
6,City of Yakima,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,93,93,0,1104,1104,0,1197,1197,0,0,0,0,1197,1197,0,0,0,0,0,0,0,0.05,0.05,0,0.55,0.55,0,0.6,0.6,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lane Transit District,Full Reporter,Urban,MB,DO,291427,56868,348295,0,60971,60971,0,14088,14088,0,65091,65091,291427,197018,488445,0,1518,1518,291427,198536,489963,148.59,28.94,177.53,0,31.07,31.07,0,7.67,7.67,0,34.41,34.41,148.59,102.09,250.68,0,1.06,1.06,148.59,103.15,251.74,0,0,0,0,0,0,0,0,0,0,6153,6153,0,6153,6153,0,0,0,0,6153,6153,0,0,0,0,0,0,0,0,0,0,4.69,4.69,0,4.69,4.69,0,0,0,0,4.69,4.69
7,Lane Transit District,Full Reporter,Urban,RB,DO,81223,15850,97073,0,25037,25037,0,3926,3926,0,18142,18142,81223,62955,144178,0,423,423,81223,63378,144601,41.41,8.06,49.47,0,12.76,12.76,0,2.14,2.14,0,9.59,9.59,41.41,32.55,73.96,0,0.3,0.3,41.41,32.85,74.26,0,0,0,0,0,0,0,0,0,0,1715,1715,0,1715,1715,0,0,0,0,1715,1715,0,0,0,0,0,0,0,0,0,0,1.31,1.31,0,1.31,1.31,0,0,0,0,1.31,1.31
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,410194,198615,608809,0,468228,468228,0,321097,321097,0,187182,187182,410194,1175122,1585316,0,71804,71804,410194,1246926,1657120,201,108,309,0,248,248,0,175,175,0,106,106,201,637,838,0,40,40,201,677,878,0,0,0,0,0,0,0,0,0,0,3630,3630,0,3630,3630,0,0,0,0,3630,3630,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,2095521,326249,2421770,0,576994,576994,0,59617,59617,0,419591,419591,2095521,1382451,3477972,0,49545,49545,2095521,1431996,3527517,1076,176,1252,0,320,320,0,34,34,0,221,221,1076,751,1827,0,28,28,1076,779,1855,446456,0,446456,0,0,0,0,0,0,0,5949,5949,446456,5949,452405,0,0,0,446456,5949,452405,319,0,319,0,0,0,0,0,0,0,6,6,319,6,325,0,0,0,319,6,325
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,197322,18619,215941,0,56640,56640,0,5339,5339,0,34150,34150,197322,114748,312070,0,832,832,197322,115580,312902,112,13,125,0,36,36,0,4,4,0,19,19,112,72,184,0,0,0,112,72,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,RiverCities Transit,Full Reporter,Urban,MB,DO,29374,7073,36447,0,0,0,0,1782,1782,0,5345,5345,29374,14200,43574,0,0,0,29374,14200,43574,20,4,24,0,0,0,0,0.97,0.97,0,3.74,3.74,20,8.71,28.71,0,0,0,20,8.71,28.71,0,0,0,0,0,0,0,345,345,0,0,0,0,345,345,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,144855,37672,182527,0,17812,17812,0,3067,3067,0,23470,23470,144855,82021,226876,0,0,0,144855,82021,226876,93,22,115,0,10.19,10.19,0,1.54,1.54,0,13.91,13.91,93,47.64,140.64,0,0,0,93,47.64,140.64,0,0,0,0,0,0,0,0,0,0,405,405,0,405,405,0,0,0,0,405,405,0,0,0,0,0,0,0,0,0,0,0.39,0.39,0,0.39,0.39,0,0,0,0,0.39,0.39
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,223107,20786,243893,0,34727,34727,0,4313,4313,0,32998,32998,223107,92824,315931,0,0,0,223107,92824,315931,125,11,136,0,19.86,19.86,0,2.17,2.17,0,19.55,19.55,125,52.58,177.58,0,0,0,125,52.58,177.58,2531,0,2531,0,0,0,0,0,0,0,570,570,2531,570,3101,0,0,0,2531,570,3101,2,0,2,0,0,0,0,0,0,0,0.54,0.54,2,0.54,2.54,0,0,0,2,0.54,2.54
