State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type,Guideway,Passenger Stations,Administrative Buildings,Maintenance Buildings,Revenue Vehicles,Service Vehicles,Fare Revenue Collection Equipment,Communication Information Systems,Other,Total Capital Funds
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,5757249,,,,,5757249
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,5739271,,,,,5739271
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,16224310,,,,,60280,,,16284590
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,4691278,1080540,2374526,12440818,57879348,1601459,3778818,13180934,26062911,123090632
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,692502,19043374,31115604,1023426,,,13245961,65120867
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
