NTD ID,Agency Name,Reporter Type,Reporting Module,Expense Type,Interest Expenses,Leases and Rentals,Purchase Lease Agreement,Related Parties Lease Agreement,Voluntary Non-Exchange Transactions,Extraordinary and Special Items,Depreciation,Amortization of Intangibles,Other Reconciling Items,Total Reconciling Items,ADA Related Reconciling Items
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Applied,"$101,228.00 ","$4,557,281.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$4,658,509.00 ","$2,393,409.00 "
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$152,451,976.00 ",$0.00 ,$0.00 ,"$152,451,976.00 ",$0.00 
2,Spokane Transit Authority,Full Reporter,Urban,Funds Applied,$0.00 ,"$127,342.00 ","$78,444.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$168,912.00 ","$374,698.00 ","$18,423.00 "
2,Spokane Transit Authority,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$12,483,306.00 ","$888,970.00 ","($4,513,653.00)","$8,858,623.00 ","($673,557.00)"
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,$0.00 ,"$1,096,455.00 ",$0.00 ,"$187,410.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$71,914.00 ","$1,355,779.00 ",$0.00 
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Not Applied,$0.00 ,"($361,762.00)",$0.00 ,"($164,404.00)",$0.00 ,$0.00 ,"$16,159,768.00 ",$0.00 ,"($4,175,949.00)","$11,457,653.00 ",$0.00 
5,City of Everett,Full Reporter,Urban,Funds Applied,$0.00 ,"$21,245.00 ",$0.00 ,$0.00 ,$0.00 ,"$10,790.00 ",$0.00 ,$0.00 ,$0.00 ,"$32,035.00 ",$0.00 
5,City of Everett,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$3,118,866.00 ",$0.00 ,"$3,153,632.00 ","$6,272,498.00 ",$0.00 
6,City of Yakima,Full Reporter,Urban,Funds Applied,$0.00 ,"$146,376.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$146,376.00 ",$0.00 
6,City of Yakima,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$554,217.00 ",$0.00 ,$0.00 ,"$554,217.00 ",$0.00 
7,Lane Transit District,Full Reporter,Urban,Funds Applied,"$23,033.00 ","$5,125,197.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$5,148,230.00 ",$0.00 
7,Lane Transit District,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$14,725,318.00 ",$0.00 ,$0.00 ,"$14,725,318.00 ",$0.00 
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Applied,"$31,212,369.00 ","$8,847,992.00 ","$4,085,727.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$36,247,512.00 ","$80,393,600.00 ",$0.00 
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$144,706,228.00 ",$0.00 ,"$85,321,950.00 ","$230,028,178.00 ",$0.00 
11,Valley Regional Transit,Full Reporter,Urban,Funds Applied,$0.00 ,"$107,652.00 ",$0.00 ,$5.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$107,657.00 ","$21,746.00 "
11,Valley Regional Transit,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$2,920,147.00 ",$0.00 ,$0.00 ,"$2,920,147.00 ","$563,129.00 "
12,Municipality of Anchorage,Full Reporter,Urban,Funds Applied,"$146,336.00 ","$1,130,746.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$447,729.00 ","$1,724,811.00 ",$0.00 
12,Municipality of Anchorage,Full Reporter,Urban,Funds Not Applied,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$833,671.00 ",$0.00 ,$0.00 ,"$833,671.00 ",$0.00 
