NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Major Failures,Other Failures,Total Failures
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,338,331,669
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,14,7,21
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,6228,5185,11413
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,68,25,93
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,24,24,48
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,1449,1343,2792
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,15,0,15
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,11,9,20
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,15,266,281
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,572,646,1218
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,8,15,23
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,15,0,15
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,34,34,68
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,434,219,653
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,13,0,13
5,City of Everett,Full Reporter,Urban,DR,DO,11,4,15
5,City of Everett,Full Reporter,Urban,MB,DO,202,37,239
6,City of Yakima,Full Reporter,Urban,CB,PT,3,2,5
6,City of Yakima,Full Reporter,Urban,DR,PT,48,30,78
6,City of Yakima,Full Reporter,Urban,MB,DO,51,69,120
7,Lane Transit District,Full Reporter,Urban,DR,PT,8,18,26
7,Lane Transit District,Full Reporter,Urban,MB,DO,186,110,296
7,Lane Transit District,Full Reporter,Urban,MB,PT,6,1,7
7,Lane Transit District,Full Reporter,Urban,RB,DO,158,94,252
7,Lane Transit District,Full Reporter,Urban,VP,PT,0,0,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,82,1206,1288
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,213,23,236
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,1952,484,2436
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,5,0,5
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,8,2,10
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,62,32,94
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,50,15,65
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,278,178,456
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,1,0,1
16,RiverCities Transit,Full Reporter,Urban,CB,DO,1,0,1
16,RiverCities Transit,Full Reporter,Urban,DR,PT,10,3,13
16,RiverCities Transit,Full Reporter,Urban,MB,DO,17,3,20
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,57,19,76
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,1,0,1
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,143,107,250
18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,9,5,14
