State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Facility Maintenance,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,$0.00 ,,"$1,778,300.00 ",$0.00 ,,"$1,778,300.00 ",$0.00 ,
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,General Administration,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,"$9,163,069.00 ",$0.00 ,,"$9,163,069.00 ",$0.00 ,
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Total,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$52,421,738.00 ",$0.00 ,$0.00 ,"$52,421,738.00 ",$0.00 ,
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Maintenance,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,"$11,756,215.00 ",$0.00 ,,"$11,756,215.00 ",$0.00 ,
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Operations,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,"$29,724,154.00 ",$0.00 ,,"$29,724,154.00 ",$0.00 ,
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Facility Maintenance,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$224,108.00 ",,,$0.00 ,,,$0.00 ,"$73,843.00 ",,$0.00 ,,"$297,951.00 ","$297,951.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,General Administration,$0.00 ,$0.00 ,"$2,333,653.00 ","$479,392.00 ","$953,875.00 ","$2,337,102.00 ",,,"$224,753.00 ","$252,958.00 ",$0.00 ,$555.00 ,"$9,560,692.00 ",,"$15,544.00 ",,"$16,158,524.00 ","$16,158,524.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Total,$0.00 ,$0.00 ,"$2,333,653.00 ","$479,392.00 ","$953,875.00 ","$2,564,937.00 ","$3,346,353.00 ",$0.00 ,"$224,753.00 ","$252,958.00 ",$0.00 ,$555.00 ,"$44,576,962.00 ",$0.00 ,"$15,544.00 ",$0.00 ,"$54,748,982.00 ","$54,748,982.00 ","$54,748,982.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Maintenance,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,"$3,443,223.00 ",,$0.00 ,,"$3,443,223.00 ","$3,443,223.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Operations,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$3,727.00 ","$3,346,353.00 ",$0.00 ,$0.00 ,$0.00 ,,$0.00 ,"$31,499,204.00 ",,$0.00 ,,"$34,849,284.00 ","$34,849,284.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Facility Maintenance,,,,,,"$21,105.00 ",,,,,,,"$8,007.00 ",,,,"$29,112.00 ","$29,112.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,General Administration,,,"$219,770.00 ","$45,146.00 ","$89,830.00 ","$220,095.00 ",,,"$21,166.00 ","$23,822.00 ",,$52.00 ,"$1,036,724.00 ",,"$1,464.00 ",,"$1,658,069.00 ","$1,658,069.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Total,$0.00 ,$0.00 ,"$219,770.00 ","$45,146.00 ","$89,830.00 ","$241,551.00 ","$315,140.00 ",$0.00 ,"$21,166.00 ","$23,822.00 ",$0.00 ,$52.00 ,"$4,833,753.00 ",$0.00 ,"$1,464.00 ",$0.00 ,"$5,791,694.00 ","$5,791,694.00 ","$5,791,694.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Maintenance,,,,,,,,,,,,,"$373,370.00 ",,,,"$373,370.00 ","$373,370.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Operations,,,,,,$351.00 ,"$315,140.00 ",,,,,,"$3,415,652.00 ",,,,"$3,731,143.00 ","$3,731,143.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Facility Maintenance,$0.00 ,$0.00 ,"$19,579.00 ","$3,104.00 ","$8,528.00 ","$52,683.00 ",,,"$29,778.00 ",,,$0.00 ,,,$501.00 ,,"$114,173.00 ","$114,173.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,General Administration,$0.00 ,$0.00 ,"$889,352.00 ","$281,963.00 ","$338,217.00 ","$874,977.00 ",,,"$16,207.00 ","$90,745.00 ","$856,656.00 ",$2.00 ,,,"$10,161.00 ",,"$3,358,280.00 ","$3,358,280.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Total,"$1,236,066.00 ","$257,964.00 ","$1,607,364.00 ","$413,147.00 ","$1,221,877.00 ","$1,745,155.00 ","$870,339.00 ",$0.00 ,"$513,055.00 ","$90,745.00 ","$856,656.00 ","$14,518.00 ",$0.00 ,$0.00 ,"$72,773.00 ",$0.00 ,"$8,899,659.00 ","$8,899,659.00 ",
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Maintenance,$0.00 ,$0.00 ,"$459,124.00 ","$90,568.00 ","$186,502.00 ","$389,567.00 ","$8,014.00 ",$0.00 ,"$390,761.00 ",,,$0.00 ,,,$827.00 ,,"$1,525,363.00 ","$1,525,363.00 ",
