NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,Rail (Y/N),TOS,Segment ID,UZA,UZA Name,Segment Name,Begins At,Ends At,Length in Miles,Directionality,Segment Type,Peak Level of Service,Safe Operation,Statutory BRT,Shoulder Lane,Hours of SOV Prohibition,Hours of Prohibition Enforcement,Original Revenue Service Date,Agency Revenue Service Start Date,Out of Revenue Service Date,Months Operated in FY,Seasonal Operation,Claiming NTD ID,Claiming Agency Name,Claiming Mode,Claiming TOS
1,King County,Full Reporter,Urban,FB,N,DO,73252,14,"Seattle--Tacoma, WA",Seattle/Vashon P.O.,Seattle,Vashon,10.0,Two Way,,,,,,,,,2009-07-01,,12,N,1,King County,FB,DO
1,King County,Full Reporter,Urban,FB,N,DO,79234,14,"Seattle--Tacoma, WA",Seattle/West Seattle P.O.,Seattle,West Seattle,2.0,Two Way,,,,,,,,2011-01-04 00:00:00,2011-01-04,,12,N,1,King County,FB,DO
1,King County,Full Reporter,Urban,MB,N,DO,71852,14,"Seattle--Tacoma, WA",WB 128th (Sno Cty): 4th Ave W to Gibson Rd,4th Ave W,Gibson Rd,0.54,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,D Unstable flow,1.0,,,20.0,20.0,1993-09-01 00:00:00,1993-09-01,,12,N,29,Snohomish County Public Transportation Benefit Area Corporation,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,71856,14,"Seattle--Tacoma, WA",West Seattle Bridge Ramps,Eastbound,Delridge Way,0.32,One Way,B Exclusive busway separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,2003-01-01 00:00:00,2003-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,71857,14,"Seattle--Tacoma, WA",West Seattle Bridge,Avalon Way,Alaskan Way,0.84,One Way,B Exclusive busway separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,2003-01-01 00:00:00,2003-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,71859,14,"Seattle--Tacoma, WA",I-5 Ramps,Northbound,Bailey,0.46,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,2003-01-01 00:00:00,2003-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,71860,14,"Seattle--Tacoma, WA",Hwy 18 Ramps,Westbound,I-5,0.41,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,2003-01-01 00:00:00,2003-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72024,14,"Seattle--Tacoma, WA",SR 509 SB (King Cty):  MP 29.92 E. Marginal Way to MP 29.23 SW Cloverdale,MP 29.92 E. Marginal Way,MP 29.23 SW Cloverdale,0.69,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,1973-01-01 00:00:00,1973-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72025,14,"Seattle--Tacoma, WA",SR 509 NB (King Cty):  MP 29.23 SW Cloverdale to MP 29.92 E. Marginal Way,MP 29.23 SW Cloverdale,MP 29.92 E. Marginal Way,0.69,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,1973-01-01 00:00:00,1973-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72027,14,"Seattle--Tacoma, WA",NW Sammamish Rd On-ramp,NW Sammamish Rd,I-90,0.77,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,E Congestion,1.0,,N,30.0,30.0,1994-01-01 00:00:00,1994-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72029,14,"Seattle--Tacoma, WA",NE 30th St,Hunts Point Rd,SR 520,0.03,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,1973-01-01 00:00:00,1973-01-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72031,14,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,Newport Hills P&R,0.05,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,1985-12-01 00:00:00,1985-12-01,,12,N,1,King County,MB,DO
1,King County,Full Reporter,Urban,MB,N,DO,72032,14,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,NE 85th St,0.08,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1.0,,,168.0,168.0,1997-01-01 00:00:00,1997-01-01,,12,N,1,King County,MB,DO
