NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,Item Name,Item Type,Item Type Code
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,00001 - SR/DO APC (PMT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00001 - SR/DO APC (UPT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",TB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00001 - TB/DO APC (UPT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",TB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00001 - TB/DO APC (PMT) W,Waiver,W
7,Lane Transit District,Full Reporter,Urban,Eugene,OR,151.0,"Eugene, OR",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00007 - MB/PT PMT Waiver,Waiver,W
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00012 - MB/DO APC Waiver PMT,Waiver,W
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00012 - MB/DO APC Waiver UPT,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00019 - APC Re-certification CB PMT W,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",CB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00019 - APC Re-certification CB UPT W,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00019 - APC Re-certification MB PMT W,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00019 - APC Re-certification MB UPT W,Waiver,W
36,Makah Tribal Council,Reduced Reporter,Tribe,Neah Bay ,WA,0.0,Washington Non-UZA,,,Transit Asset Management Performance Measure Targets (A-90),Narrative Report,00036 - Narrative Report W,Waiver,W
36,Makah Tribal Council,Reduced Reporter,Tribe,Neah Bay ,WA,0.0,Washington Non-UZA,,,Transit Asset Management Performance Measure Targets (A-90),Cutaway Target,00036 - CU Target W,Waiver,W
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,Bend,OR,344.0,"Bend, OR",DR,DO,Service Non-Rail (S-10),Total Actual Vehicle Hours -Annual Total Schedule,00057 - DR/DO - Actual Vehicle Hours - W,Waiver,W
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,Bend,OR,344.0,"Bend, OR",DR,PT,Service Non-Rail (S-10),Total Actual Vehicle Hours -Annual Total Schedule,00057 - DR/PT - Actual Vehicle Hours - W,Waiver,W
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,Bend,OR,344.0,"Bend, OR",MB,DO,Service Non-Rail (S-10),Total Actual Vehicle Hours -Annual Total Schedule,00057 - MB/DO - Actual Vehicle Hours - W,Waiver,W
59,Josephine County,Reduced Reporter,Urban,Grants Pass,OR,494.0,"Grants Pass, OR",DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00059 DR VRH W,Waiver,W
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,00247 - DR/DO VRM Waiver,Waiver,W
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00247 - DR/DO VRH Waiver,Waiver,W
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Unlinked Passenger Trips,00247 - DR/DO UPT Waiver,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DR,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00376 - DR/DO - Passenger Miles Traveled - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DT,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00376 - DT/PT - Passenger Miles Traveled - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DT,PT,Operating Expenses (F-30),In Report - Vehicle Operations,00376 - DT/PT - In-Report VO - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DT,PT,Operating Expenses (F-30),In Report - Vehicle Maintenance,00376 - DT/PT - In-Report VM - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DT,PT,Operating Expenses (F-30),In Report - Facility Maintenance,00376 - DT/PT - In-Report FM - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DT,PT,Operating Expenses (F-30),In Report - General Administration,00376 - DT/PT - In-Report GA - W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00376 - MB/DO - Passenger Miles Traveled - W,Waiver,W
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,00419 - DR/DO VRM W,Waiver,W
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00419 - DR/DO VRH W,Waiver,W
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Unlinked Passenger Trips,00419 - DR/DO UPT W,Waiver,W
0R04-00327,Valley Transit,Rural Reporter,Rural,Wasilla,AK,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Annual Unlinked Passenger Trips,0R04-00327 - DR/DO UPT W,Waiver,W
0R04-00327,Valley Transit,Rural Reporter,Rural,Wasilla,AK,,,MB,DO,Reduced Reporting (RR-20) - General Public Transit,Annual Unlinked Passenger Trips,0R04-00327 - MB/DO UPT W,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",,,Transit Asset Management Facilities Inventory (A-15),,10003 2019 Asset Inventory Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE CR/PT (Q),Questionable,Q
