State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type,Guideway,Passenger Stations,Administrative Buildings,Maintenance Buildings,Revenue Vehicles,Service Vehicles,Fare Revenue Collection Equipment,Communication Information Systems,Other,Total Capital Funds
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,66641,,,,,66641
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,11513690,,,,,,11513690
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,151461,,,,,,,,151461
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,9205687,58785,47365,31662570,12589485,1571481,68064,20361991,12902125,88467553
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,3035339,14166872,,,,,27684058,44886269
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
