NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Major Failures,Other Failures,Total Failures
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,179,129,308
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,7,7,14
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,6024,5937,11961
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,50,26,76
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,33,33,66
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,1604,1584,3188
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,32,0,32
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,21,13,34
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,9,231,240
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,581,457,1038
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,4,10,14
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,9,1,10
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,13,4,17
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,409,306,715
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,10,0,10
5,City of Everett,Full Reporter,Urban,DR,DO,1,1,2
5,City of Everett,Full Reporter,Urban,MB,DO,84,31,115
6,City of Yakima,Full Reporter,Urban,CB,PT,2,1,3
6,City of Yakima,Full Reporter,Urban,DR,PT,41,34,75
6,City of Yakima,Full Reporter,Urban,MB,DO,55,62,117
6,City of Yakima,Full Reporter,Urban,VP,DO,2,1,3
7,Lane Transit District,Full Reporter,Urban,DR,PT,11,27,38
7,Lane Transit District,Full Reporter,Urban,MB,DO,165,91,256
7,Lane Transit District,Full Reporter,Urban,MB,PT,8,1,9
7,Lane Transit District,Full Reporter,Urban,RB,DO,158,77,235
7,Lane Transit District,Full Reporter,Urban,VP,PT,0,0,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,56,1479,1535
