NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,0,,,80768,,,,,612884,,,,349270,,
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,181039,,,19736,,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,434148,,,7358978,80444,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,0,,,110562,,,,,83175,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,,,,,,2120085,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,,,,,,15561912,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,,,,,,,,,193042,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,49322,,,,,72094,,,,890,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,86584,,,,,5532,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,1224149,89100,,,,,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,36164,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,9828,,,,,,24234,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,187922,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,1186669,120462,144510,,,,10936,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,157508,,,,,,
5,City of Everett,Full Reporter,Urban,DR,DO,,,,,,,,,54067,,,,,,
5,City of Everett,Full Reporter,Urban,MB,DO,0,,,201676,706734,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,CB,PT,0,,,23783,,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,,25346,,,,,,
6,City of Yakima,Full Reporter,Urban,MB,DO,0,,,154266,,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,VP,DO,,,,,,,,,2257,,,,,,
7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,82799,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,DO,0,,,386888,43812,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,PT,0,,,3718,,,,,8772,,,,,,
7,Lane Transit District,Full Reporter,Urban,RB,DO,0,,,209111,,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,3043,,,,,,
