NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,ADA Accessible Stations,Non-ADA Accessible Stations,Total Stations,Escalators,Elevators
1,King County Department of Metro Transit,Full Reporter,,,Urban,FB,DO,1.0,2.0,3,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,16.0,,16,0.0,13.0
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,,,0,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,25.0,,25,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,TB,DO,,,0,,
2,Spokane Transit Authority,Full Reporter,,,Urban,MB,DO,1.0,,1,2.0,1.0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,8.0,,8,,5.0
4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,FB,DO,,2.0,2,,
4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,MB,DO,,,0,,
5,City of Everett,Full Reporter,,,Urban,MB,DO,3.0,,3,,
6,City of Yakima,Full Reporter,,,Urban,CB,PT,0.0,0.0,0,0.0,0.0
6,City of Yakima,Full Reporter,,,Urban,MB,DO,1.0,0.0,1,0.0,0.0
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,3.0,,3,,
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,,,0,,
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,2.0,,2,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,96.0,0.0,96,0.0,16.0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,6.0,0.0,6,0.0,0.0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,5.0,0.0,5,0.0,0.0
9,Kalispel Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,,,0,,
11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,1.0,,1,,1.0
12,Municipality of Anchorage,Full Reporter,,,Urban,MB,DO,2.0,0.0,2,0.0,0.0
14,Sitka Tribe of Alaska,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,,,0,,
16,RiverCities Transit,Full Reporter,,,Urban,MB,DO,2.0,,2,0.0,0.0
18,Ben Franklin Transit,Full Reporter,,,Urban,MB,DO,2.0,2.0,4,,
19,Intercity Transit,Full Reporter,,,Urban,CB,DO,2.0,0.0,2,0.0,0.0
19,Intercity Transit,Full Reporter,,,Urban,MB,DO,2.0,0.0,2,0.0,0.0
20,Kitsap Transit,Full Reporter,,,Urban,FB,DO,6.0,0.0,6,0.0,1.0
20,Kitsap Transit,Full Reporter,,,Urban,MB,DO,7.0,,7,,1.0
21,Whatcom Transportation Authority,Full Reporter,,,Urban,MB,DO,4.0,0.0,4,0.0,0.0
22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,1.0,,1,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,2.0,,2,,1.0
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,3.0,,3,,
25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,DO,2.0,,2,,
25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,PT,,,0,,
28,County of Pierce,Full Reporter,,,Urban,FB,PT,5.0,,5,,2.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,DO,12.0,,12,5.0,8.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,PT,7.0,,7,,4.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,MB,DO,80.0,,80,,6.0
31,Shoshone-Bannock Tribes ,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
34,Rogue Valley Transportation District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,1.0,0.0,1,0.0,0.0
35,Washington State Ferries,Full Reporter,,,Urban,FB,DO,19.0,,19,,
