NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677190.0,0.0,0,1677190,0,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,General Administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7457011.0,0.0,0,7457011,0,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48762759.0,0.0,0,48762759,0,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12566562.0,0.0,0,12566562,0,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27061996.0,0.0,0,27061996,0,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,271999.0,0.0,0.0,0.0,0.0,0.0,0.0,167939.0,0.0,0.0,0,439938,439938,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,General Administration,0.0,0.0,2072252.0,402186.0,886005.0,3223513.0,0.0,0.0,418316.0,91957.0,4.0,0.0,9466861.0,0.0,52915.0,0,16614009,16614009,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Total,0.0,0.0,2072252.0,402186.0,886005.0,3495512.0,2017247.0,0.0,418557.0,91957.0,4.0,0.0,46291290.0,0.0,52915.0,0,55727925,55727925,55727925.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432493.0,0.0,0.0,0,3432493,3432493,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Operations,0.0,0.0,0.0,0.0,0.0,0.0,2017247.0,0.0,241.0,0.0,0.0,0.0,33223997.0,0.0,0.0,0,35241485,35241485,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,20332.0,0.0,0.0,0.0,0.0,0.0,0.0,13174.0,0.0,0.0,0,33506,33506,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,General Administration,0.0,0.0,154903.0,30064.0,66230.0,240961.0,0.0,0.0,31270.0,6874.0,0.0,0.0,742639.0,0.0,3955.0,0,1276896,1276896,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Total,0.0,0.0,154903.0,30064.0,66230.0,261293.0,150791.0,0.0,31288.0,6874.0,0.0,0.0,3631374.0,0.0,3955.0,0,4336772,4336772,4336772.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269266.0,0.0,0.0,0,269266,269266,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Operations,0.0,0.0,0.0,0.0,0.0,0.0,150791.0,0.0,18.0,0.0,0.0,0.0,2606295.0,0.0,0.0,0,2757104,2757104,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Facility Maintenance,0.0,0.0,9552.0,1268.0,4053.0,34721.0,0.0,0.0,8811.0,0.0,0.0,0.0,0.0,0.0,500.0,0,58905,58905,0.0
