State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Passenger Paid Fares,Organization Paid Fares,Total Fares
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,1433519,3861580,5295099
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,420263,265907,686170
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Funds Earned During Period,11536,0,11536
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,205700,328482,534182
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Funds Earned During Period,3919712,7499404,11419116
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,23419314,20285851,43705165
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Funds Earned During Period,522985,69688,592673
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Funds Earned During Period,160778,253902,414680
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Funds Earned During Period,2718897,2355113,5074010
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,847493,3600342,4447835
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,272874,0,272874
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,66142,0,66142
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,4082987,565560,4648547
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,191481,0,191481
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,5048907,0,5048907
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,42603,0,42603
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,137537,0,137537
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,4416932,44234,4461166
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,1750544,0,1750544
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,0,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0,0,0
,5,City of Everett,Full Reporter,Urban,DR,DO,Funds Earned During Period,70111,0,70111
,5,City of Everett,Full Reporter,Urban,MB,DO,Funds Earned During Period,324326,196219,520545
,6,City of Yakima,Full Reporter,Urban,CB,PT,Funds Earned During Period,167154,0,167154
,6,City of Yakima,Full Reporter,Urban,DR,PT,Funds Earned During Period,74970,0,74970
,6,City of Yakima,Full Reporter,Urban,MB,DO,Funds Earned During Period,297699,0,297699
,6,City of Yakima,Full Reporter,Urban,VP,DO,Funds Earned During Period,34430,0,34430
,7,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,234258,44279,278537
,7,Lane Transit District,Full Reporter,Urban,DR,TX,Funds Earned During Period,0,9556413,9556413
,7,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,1690850,1096416,2787266
,7,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,23770,0,23770
,7,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,1332428,627337,1959765
,7,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,173392,0,173392
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,1465542,6614545,8080087
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Funds Earned During Period,114924,809636,924560
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,25282118,10133862,35415980
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,34920845,13997365,48918210
