NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,95,12,5295099,,50636778,0,0,55931877,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,327,12,686170,,48982166,2387424,8730346,60786106,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,126,12,11536,,4360765,190662,697211,5260174,0
1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Buyer,48,12,11419116,,66256873,0,0,77675989,0
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,Hopelink,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,29,12,592673,,7814089,160000,1901723,10468485,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Artisans Ark,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,10,3180,,377,0,243,3800,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,ARC,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,4,11,10020,,3369,0,2174,15563,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Merry Glen,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,5,3780,,1375,0,888,6043,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Latah,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,7,5040,,1917,0,1237,8194,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,41,12,38542,,3728728,82092,340238,4189600,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,A.G.E.S.,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,2880,,8403,0,5422,16705,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Compass,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,2,240,,79,0,51,370,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Adult Day Health (ADH),The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,6,2460,,2941,0,1898,7299,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,118,12,5005093,,48109518,200004,0,53314615,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,56,12,137537,,5662337,173207,3365496,9338577,0
6,City of Yakima,Full Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,A&A Motorcoach,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,12,167154,,451797,22589,40135,681675,0
6,City of Yakima,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,24,12,74970,,593368,59336,189744,917418,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medical Transportation Management,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,Y,"Buyer provides Call center building, and maintenance for building.  Maintenance Facility at building provided, maintenance service provided by contractor.",In This Report,,Buyer,37,12,277409,,3852070,0,452667,4582146,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,9,1128,,18631,0,2189,21948,0
7,Lane Transit District,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Medical Management Transportation,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,Y,RideSource Call center also used by brokerage.,In This Report,,Buyer,289,12,0,,9289979,4644989,503645,14438613,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,16127,,196851,0,1298,214276,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,River Cities Taxi,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,2,12,7642,,207878,0,1362,216882,0
7,Lane Transit District,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,16,12,124990,48402,81350,23596,64403,342741,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,223,12,8080087,,22158784,0,10858268,41097139,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Broadway Cab,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,50,12,924560,,2991748,89752,948039,4954099,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,58,City of Portland,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Seller,13,12,899413,,11025128,0,,11924541,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Entity that Does Not Report to NTD,Portland & Western Railroad,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,4,12,218681,,2201016,0,5469827,7889524,
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Eagle Senior Center,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,4,12,0,,148476,0,175629,324105,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Harvest Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,,192823,0,131724,324547,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,METRO Community Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,0,,316605,0,219538,536143,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Supportive Housing and Innovating Partners,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,4,12,0,,199754,0,175630,375384,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,19,12,67787,,1758398,0,998649,2824834,0
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,42,12,555746,,6510990,0,4835972,11902708,0
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transportion,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,37,12,129368,,3745893,0,1759810,5635071,0
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,80,12,944021,152057,273000,660690,571221,2600989,0
16,RiverCities Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Paratransit Services,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,15,12,15131,,929393,0,350767,1295291,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,The ARC of the Tri-Cities,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,15,6,0,,376060,0,192556,568616,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"Via Transportation, LLC ",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,13,9,0,,379951,45594,192517,618062,0
20,Kitsap Transit,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,City Cab Taxi Services LLC,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,913,,19786,108,9328,30135,0
20,Kitsap Transit,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Yellow Cab,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,1115,,24423,132,11400,37070,0
20,Kitsap Transit,Full Reporter,Urban,FB,PT,Entity that Does Not Report to NTD,Kitsap Harbor Tours,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,2,12,414420,,1000719,33000,974658,2422797,0
