State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Facility Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,1465265,0,0,1465265,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,General Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,6870838,0,0,6870838,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,50636778,0,0,50636778,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,13791458,0,0,13791458,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,28509217,0,0,28509217,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Facility Maintenance,0,0,0,0,0,221423,0,0,0,0,0,0,127068,0,0,0,348491,348491,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,General Administration,0,0,2046259,395620,878237,2971348,0,0,441560,60569,0,0,11130447,0,5626,0,17929666,17929666,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Total,0,0,2046259,395620,878237,3266912,1484086,0,593037,60569,0,0,47280912,0,5626,0,56011258,56011258,56011258
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,3096712,0,0,0,3096712,3096712,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Operations,0,0,0,0,0,74141,1484086,0,151477,0,0,0,32926685,0,0,0,34636389,34636389,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Facility Maintenance,0,0,0,0,0,17683,0,0,0,0,0,0,11238,0,0,0,28921,28921,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,General Administration,0,0,163416,31594,70137,237294,0,0,35263,4837,0,0,984404,0,449,0,1527394,1527394,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Total,0,0,163416,31594,70137,260898,118520,0,47360,4837,0,0,4181639,0,449,0,4878850,4878850,4878850
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,273881,0,0,0,273881,273881,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Vehicle Operations,0,0,0,0,0,5921,118520,0,12097,0,0,0,2912116,0,0,0,3048654,3048654,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Facility Maintenance,0,0,11534,0,5388,65355,0,0,44771,0,0,0,0,0,4228,0,131276,131276,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,General Administration,0,0,592673,119336,223154,1052506,0,0,1757,69463,574610,0,0,0,5673,0,2639172,2639172,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Total,774828,279627,1293337,225626,1175367,1476650,257488,0,348080,69463,574610,5764,0,0,20136,0,6500976,6500976,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Maintenance,0,0,436317,77986,217107,136980,10634,0,273681,0,0,0,0,0,3768,0,1156473,1156473,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Operations,774828,279627,252813,28304,729718,221809,246854,0,27871,0,0,5764,0,0,6467,0,2574055,2574055,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Facility Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,28667755,0,0,28667755,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,General Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,8211055,0,0,8211055,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,66256873,0,0,66256873,0,0
