UACE Code,UZA,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled,Total Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,SGR FG Directional Route Miles,SGR FG Vehicle Revenue Miles,SGR HIB Directional Route Miles,SGR HIB Vehicle Revenue Miles
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,416969,455391,3913186,4551838,56011258,3913186,4551838,56011258,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,30096,86460,905250,1003831,4878850,905250,1003831,4878850,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Data,,,,2664,146930,35948,896100,6500976,0,0,0,24,35948,896100,6500976,24,35948,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,2905517,48865809,30870826,210354213,631990647,29986577,204328929,613888213,13.2,884249,6025284,18102434,4,373664,167.3,3568909
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,72232,391935,779440,1514647,10148485,779440,1514647,10148485,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,29321,749443,147792,932676,11968636,0,0,0,7.9,147792,932676,11968636,2.7,51511,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,359439,8385162,2375110,15704827,72294814,0,0,0,113.9,2375110,15704827,72294814,113.9,2375110,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,147548,1084802,5295537,24936518,8433948,5295537,24936518,8433948,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,57729,117972,885171,781982,9815083,885171,781982,9815083,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,42276,87843,655892,681696,4017248,655892,681696,4017248,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Other,Annual totals are allocated 92.3% to the 96 UZA and 7.7% to the 0 UZA.  This is based on the 2010 census and the allocation method was submitted to FTA.,,,34507,447967,475097,1898674,4415913,475097,1898674,4415913,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Other,Annual totals are allocated 92.3% to the 96 UZA and 7.7% to the 0 UZA.  This is based on the 2010 census and the allocation method was submitted to FTA.,,,413635,5369809,5694988,22759417,52933601,5694988,22759417,52933601,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Other,The annual totals are allocated 81% in UZA 96 and 19% in UZA 0-WA.  This is based on the 2010 census and the allocation method was submitted to FTA. ,,,4367,17247,128096,420908,102822,128096,420908,102822,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,164,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Other,The annual totals are allocated 81% in UZA 96 and 19% in UZA 0-WA.  This is based on the 2010 census and the allocation method was submitted to FTA. ,,,18612,73523,546093,1794398,438347,546093,1794398,438347,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,16909,33406,228735,220566,3121375,228735,220566,3121375,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,65990,116883,955755,842269,8854626,955755,842269,8854626,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, Actual Data,,,,388929,4755960,4271293,20506691,67727590,4271293,20506691,67727590,0,0,0,0,0,0,8,26565
,14,"Seattle, WA",Y,3059393,3028,1010,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO, Actual Data,,,,83295,397472,3015970,11957330,3836144,3015970,11957330,3836144,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO, Actual Vehicle Revenue Miles,,,,5468,150887,25506,0,775284,25506,0,775284,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,1068,3343,22607,0,171462,22607,0,171462,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,5,City of Everett,Full Reporter,Urban,DR,DO, Actual Data,,,,25681,53400,297836,235854,5771690,297836,235854,5771690,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,1010,,5,City of Everett,Full Reporter,Urban,MB,DO, Actual Data,,,,76436,807733,890830,3091043,14575767,890830,3091043,14575767,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,1641,4632,57099,153519,187735,57099,153519,187735,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,60,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,2461,6949,85650,230282,281608,85650,230282,281608,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,60,,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,17377,36910,176401,113830,723776,176401,113830,723776,0,0,0,0,0,0,0,0
