NTD ID,Agency Name,Reporter Type,Reporting Module,CA: Cash and Cash Equivalents,CA: Accounts Receivable,CA: Inventory,CA: Prepaid Expenses,CA: Current Investments and Current Portions of Long-Term Investments,CA: Other Current Assets,Total Current Assets,NCA: Capital Assets,NCA: Intangible Assets,NCA: Capital Leases Receivables,NCA: Special Funds,NCA: Work in Progress,NCA: Investments,NCA: Other Noncurrent Assets,Total Noncurrent Assets,Total Assets,Deferred Outflows of Resources,CL: Current Accounts Payable,CL: Short-Term Debt and Current Portions of Long-Term Debt,CL: Accrued Liabilities,CL: Other Current Liabilities,Total Current Liabilities,NCL: Long-Term Debt,NCL: Noncurrent Accounts Payable,NCL: Capital Lease Obligations,NCL: Long-Term Pension Liabilities,NCL: Estimated Liabilities,NCL: Other Noncurrent Liabilities,Total Noncurrent Liabilities,Total Liabilities,Deferred Inflows of Resources,Net Position
2,Spokane Transit Authority,Full Reporter,Urban,135058458,31367420,1623863,256834,0,0,168306575,85601018,3013599,0,0,31162847,0,0,119777464,288084039,5837042,6886517,0,7023065,1630393,15539975,0,0,0,15122567,0,0,15122567,30662542,4011419,259247120
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,2292845,896144,4041153,759712,69198588,35968249,113156691,78464785,0,0,75694166,49013882,0,0,203172833,316329524,8132283,4933629,0,0,16776382,21710011,0,0,0,22913723,9285383,0,32199106,53909117,8678784,261873906
7,Lane Transit District,Full Reporter,Urban,25166563,23059118,1302337,621541,0,0,50149559,157836527,0,0,0,0,0,0,157836527,207986086,4665520,1678483,0,3710398,7637945,13026826,0,0,0,33693081,0,0,33693081,46719907,2538142,163393557
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,181141148,86703878,52054283,10343048,0,103284134,433526491,2726924908,0,0,475462513,359952533,0,28892413,3591232367,4024758858,235293251,59728418,24256852,40806346,84462161,209253777,901260559,3571961,64189448,1099642403,20144574,0,2088808945,2298062722,110536551,1851452836
11,Valley Regional Transit,Full Reporter,Urban,2726868,2717531,477327,84789,0,0,6006515,28917731,0,0,0,263952,0,0,29181683,35188198,370603,2160389,0,827934,1371605,4359928,0,0,0,1171996,0,0,1171996,5531924,42151,29984726
18,Ben Franklin Transit,Full Reporter,Urban,38015727,27372896,390524,375862,0,0,66155009,34652948,532996,0,0,1947328,0,0,37133272,103288281,2516087,1506958,0,1854577,0,3361535,0,0,0,6471330,0,6096577,12567907,15929442,1814997,88059929
19,Intercity Transit,Full Reporter,Urban,119321018,32095590,1028400,350240,0,0,152795248,61192822,0,0,0,14713684,0,0,75906506,228701754,7016993,4270458,0,1375531,283882,5929871,0,0,0,20309323,0,2932784,23242107,29171978,3259372,203287397
20,Kitsap Transit,Full Reporter,Urban,10512447,26334236,1774177,927706,58110668,0,97659234,114288664,335756,0,531758,48142717,0,141862,163440757,261099991,3278196,4959348,3903558,3842799,0,12705705,35908111,0,0,7782165,0,0,43690276,56395981,2477131,205505075
21,Whatcom Transportation Authority,Full Reporter,Urban,35001538,7120809,1241127,300721,0,0,43664195,37349355,0,0,0,3204289,0,0,40553644,84217839,2266437,1618698,0,3180824,8333,4807855,0,0,0,6350706,0,197793,6548499,11356354,1760354,73367568
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,9041512,14746411,2200632,1458644,0,0,27447199,119643535,6508970,0,95089064,6513559,0,134308,227889436,255336635,3964025,1926684,0,5584916,219319,7730919,0,0,0,10012130,598445,643484,11254059,18984978,3159986,237155696
25,Salem Area Mass Transit District,Full Reporter,Urban,2832277,12802843,922508,447199,0,6630,17011457,41823075,0,0,0,6488767,15477445,0,63789287,80800744,4949950,1590391,0,3013358,139665,4743414,0,0,0,10562873,0,0,10562873,15306287,1877521,68566886
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,210472548,44694455,1630721,147403,0,0,256945127,234478094,3427582,0,1553000,27712783,99779459,0,366950918,623896045,11862601,8592864,1267732,9043168,4265155,23168919,8008230,0,0,36306431,3236365,0,47551026,70719945,6216023,558822678
34,Rogue Valley Transportation District,Full Reporter,Urban,7376167,10485699,474597,69837,0,0,18406300,19931273,0,0,0,0,0,0,19931273,38337573,0,1281847,0,643377,0,1925224,329904,0,0,0,0,0,329904,2255128,0,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,288296647,426022803,24089167,14487044,867750946,4324630,1624971237,5360261302,864155043,341211659,250548659,7759727288,668168488,21098282,15265170721,16890141958,29654516,342252633,54300000,61082704,13283640,470918977,2377960042,0,175733043,0,0,13660899,2567353984,3038272961,18429178,13863094335
43,Chelan Douglas PTBA ,Full Reporter,Urban,3395533,4524270,343943,23665,15064956,0,23352367,33181316,0,0,66370,71571,0,0,33319257,56671624,1114495,4710114,0,872899,0,5583013,0,0,0,2731649,0,50000,2781649,8364662,847891,48573566
44,Skagit Transit,Full Reporter,Urban,15283714,3417452,474548,0,0,0,19175714,27084809,162473,0,0,2088136,0,0,29335418,48511132,0,75697,0,610971,3327,689995,0,0,0,0,0,342389,342389,1032384,0,0
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,9732830,10339790,2003631,1905782,1034903,0,25016936,111529642,0,0,3063537,19930322,4978190,0,139501691,164518627,22733960,15937311,2889961,10090904,297620,29215796,9012000,0,0,143000107,14302902,0,166315009,195530805,8333715,-16611933
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,215979205,173694073,62207787,2036934,34659061,273479478,762056538,11076492159,0,29100285,0,0,0,826086397,11931678841,12693735379,558376044,399137966,338161677,278915361,0,1016215004,5172268143,0,78379032,3846348010,0,168918080,9265913265,10282128269,399730035,2570253119
10004,Brockton Area Transit Authority,Full Reporter,Urban,2285980,5090816,0,0,0,178057,7554853,20566608,0,0,0,0,0,1371137,21937745,29492598,329075,543667,0,212635,1123646,1879948,6300000,0,0,911188,0,1053111,8264299,10144247,61845,19615581
10005,Lowell Regional Transit Authority,Full Reporter,Urban,518675,3405661,0,52376,0,574265,4550977,36317898,0,0,0,0,0,2410503,38728401,43279378,0,682296,5600000,104832,0,6387128,0,0,0,1226960,0,113153,1340113,7727241,71523,0
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,1203864,11142013,995298,137976,0,0,13479151,20742867,0,0,0,1735799,0,0,22478666,35957817,1911004,4213911,4756198,205453,0,9175562,0,0,0,7392330,741627,0,8133957,17309519,1589976,18969326
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,1928815,4110268,0,20724,0,773741,6833548,12525206,0,0,0,0,0,0,12525206,19358754,127444,363115,5150000,120916,188065,5822096,0,0,0,768670,0,0,768670,6590766,0,0
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,1687360,17776116,0,538274,3982536,0,23984286,110958935,0,0,3636854,0,0,0,114595789,138580075,2163931,5264864,13000000,119239,3197777,21581880,0,0,0,36090785,0,0,36090785,57672665,12310495,70760846
