NTD ID,Agency Name,Reporter Type,Reporting Module,Expense Type,Interest Expenses,Leases and Rentals,Purchase Lease Agreement,Related Parties Lease Agreement,Voluntary Non-Exchange Transactions,Extraordinary and Special Items,Depreciation,Amortization of Intangibles,Other Reconciling Items,Total Reconciling Items,ADA Related Reconciling Items
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Applied,349359,5585702,0,2816320,0,,0,0,1067705,9819086,9404
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Not Applied,0,0,0,0,,0,158432474,0,,158432474,0
2,Spokane Transit Authority,Full Reporter,Urban,Funds Applied,,495440,82092,,,,,,1727458,2304990,176028
2,Spokane Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,10213694,1628921,,11842615,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,0,400384,0,173207,0,2647140,0,0,118925,3339656,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,17275468,0,-4176491,13098977,0
5,City of Everett,Full Reporter,Urban,Funds Applied,,32241,,,,685452,,,981,718674,
5,City of Everett,Full Reporter,Urban,Funds Not Applied,,,,,,,3694253,,2172506,5866759,
6,City of Yakima,Full Reporter,Urban,Funds Applied,,81927,,,,,,,,81927,
6,City of Yakima,Full Reporter,Urban,Funds Not Applied,,,,,,,1019984,,,1019984,
7,Lane Transit District,Full Reporter,Urban,Funds Applied,18929,4698480,,,,760348,,,,5477757,
7,Lane Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,13910335,,,13910335,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Applied,28792484,7410179,3821513,0,0,6804365,0,0,33676382,80504923,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,137471735,0,45968147,183439882,0
11,Valley Regional Transit,Full Reporter,Urban,Funds Applied,,99035,,5,,,,,,99040,20006
11,Valley Regional Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,2734366,,,2734366,210533
12,Municipality of Anchorage,Full Reporter,Urban,Funds Applied,166802,685698,0,0,0,0,0,0,389085,1241585,0
12,Municipality of Anchorage,Full Reporter,Urban,Funds Not Applied,0,,0,0,0,0,663761,0,0,663761,0
16,RiverCities Transit,Full Reporter,Urban,Funds Applied,,32180,,,,,,,,32180,
16,RiverCities Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,248501,,,248501,
18,Ben Franklin Transit,Full Reporter,Urban,Funds Applied,,97561,0,,,,,,75307,172868,
18,Ben Franklin Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,4763484,,,4763484,
19,Intercity Transit,Full Reporter,Urban,Funds Applied,,202029,,,,,,,,202029,
19,Intercity Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,5898316,8834,-22393,5884757,
20,Kitsap Transit,Full Reporter,Urban,Funds Applied,1193334,33240,,,,,,,633152,1859726,
